FUNDING,name,State
985e3,brain,CALIFORNIA
416250,immune,CALIFORNIA
496683,brain,CALIFORNIA
635e3,aging,CALIFORNIA
604504,diabetes,CALIFORNIA
144500,brain,CALIFORNIA
69550,stress,CALIFORNIA
110312,aging,CALIFORNIA
108750,tumor,CALIFORNIA
108750,stress,CALIFORNIA
105750,hiv,CALIFORNIA
427167,stress,CALIFORNIA
26999,stress,CALIFORNIA
74500,breast,CALIFORNIA
649018,lung,CALIFORNIA
2519194,breast,CALIFORNIA
495366,lung,CALIFORNIA
412500,aging,Others
230184,stress,PENNSYLVANIA
192625,brain,PENNSYLVANIA
330654,diabetes,PENNSYLVANIA
639194,lung,PENNSYLVANIA
46293,lung,PENNSYLVANIA
92738,stress,PENNSYLVANIA
448470,diabetes,PENNSYLVANIA
230351,brain,PENNSYLVANIA
347148,diabetes,OHIO
34398,breast,OHIO
198125,hiv,OHIO
64042,aging,OHIO
356784,aging,OHIO
31560,immune,OHIO
1981250,brain,OHIO
54294,brain,OHIO
475500,hiv,OHIO
26160,hiv,OHIO
288896,hiv,OHIO
449500,brain,OHIO
172369,breast,OHIO
321679,aging,OHIO
226110,hiv,OHIO
328265,breast,OHIO
348477,aging,OHIO
29633,tumor,OHIO
164667,hiv,OHIO
75e3,hiv,OHIO
43576,brain,OHIO
362569,brain,OHIO
396250,immune,OHIO
4845748,diabetes,OHIO
717500,hiv,OHIO
533617,lung,OHIO
751522,hiv,OHIO
396592,immune,OHIO
198125,hiv,OHIO
324925,immune,OHIO
227649,hiv,OHIO
536640,stress,OHIO
1415543,aging,OHIO
1603285,hiv,OHIO
289351,tumor,OHIO
495038,stress,OHIO
1229898,hiv,OHIO
492372,hiv,OHIO
473853,breast,OHIO
270712,aging,OHIO
60878,breast,OHIO
784575,hiv,OHIO
2292400,hiv,OHIO
60402,immune,OHIO
513198,hiv,OHIO
32765,tumor,OHIO
237750,aging,OHIO
410341,aging,OHIO
48576,breast,OHIO
81202,immune,OHIO
130164,hiv,OHIO
362569,tumor,OHIO
356625,alcohol,OHIO
373968,breast,OHIO
482748,hiv,OHIO
447440,aging,OHIO
773997,hiv,OHIO
699501,aging,OHIO
560760,breast,OHIO
2515897,diabetes,OHIO
292552,hiv,OHIO
201087,hiv,OHIO
191008,hiv,OHIO
409144,aging,OHIO
346719,brain,OHIO
478225,aging,OHIO
244176,breast,OHIO
165078,lung,OHIO
396250,immune,OHIO
230295,aging,OHIO
813788,hiv,OHIO
333728,aging,OHIO
324925,brain,OHIO
198125,lung,OHIO
237750,hiv,OHIO
708347,hiv,OHIO
58802,aging,OHIO
211617,alcohol,Others
1610390,alcohol,MARYLAND
407075,tumor,CALIFORNIA
511670,brain,CALIFORNIA
218750,brain,CALIFORNIA
171072,lung,CALIFORNIA
374063,tumor,CALIFORNIA
544935,tumor,CALIFORNIA
671851,aging,CALIFORNIA
437500,lung,CALIFORNIA
6e5,aging,CALIFORNIA
197698,immune,CALIFORNIA
292627,aging,CALIFORNIA
194282,aging,CALIFORNIA
557887,tumor,CALIFORNIA
393750,alcohol,CALIFORNIA
161568,alcohol,CALIFORNIA
459262,diabetes,CALIFORNIA
211756,diabetes,CALIFORNIA
1841679,lung,CALIFORNIA
418128,tumor,CALIFORNIA
507457,breast,CALIFORNIA
538873,immune,MASSACHUSETTS
1999370,breast,MASSACHUSETTS
225635,aging,MARYLAND
746899,brain,CALIFORNIA
207745,hiv,CALIFORNIA
148964,hiv,MASSACHUSETTS
1e6,alcohol,MARYLAND
1499854,tumor,Others
358750,breast,CALIFORNIA
107625,diabetes,CALIFORNIA
322875,diabetes,CALIFORNIA
3417051,aging,MASSACHUSETTS
4008054,aging,MASSACHUSETTS
401336,aging,MASSACHUSETTS
627730,hiv,ILLINOIS
70854,hiv,PENNSYLVANIA
184151,brain,PENNSYLVANIA
1137210,lung,PENNSYLVANIA
380640,tumor,PENNSYLVANIA
130495,brain,PENNSYLVANIA
86358,diabetes,PENNSYLVANIA
140504,tumor,PENNSYLVANIA
174027,aging,PENNSYLVANIA
186408,lung,PENNSYLVANIA
73008,lung,PENNSYLVANIA
614290,tumor,PENNSYLVANIA
252e3,brain,PENNSYLVANIA
171936,immune,PENNSYLVANIA
504581,brain,PENNSYLVANIA
130860,stress,PENNSYLVANIA
176278,brain,PENNSYLVANIA
735113,brain,PENNSYLVANIA
180868,hiv,PENNSYLVANIA
749253,aging,PENNSYLVANIA
58002,lung,PENNSYLVANIA
172277,hiv,PENNSYLVANIA
170202,hiv,PENNSYLVANIA
1147087,hiv,PENNSYLVANIA
405250,brain,PENNSYLVANIA
633978,immune,PENNSYLVANIA
174539,aging,PENNSYLVANIA
373193,aging,PENNSYLVANIA
243862,brain,PENNSYLVANIA
259058,tumor,PENNSYLVANIA
602490,brain,PENNSYLVANIA
42e4,stress,PENNSYLVANIA
525006,stress,PENNSYLVANIA
386152,diabetes,PENNSYLVANIA
212558,diabetes,PENNSYLVANIA
21e4,diabetes,PENNSYLVANIA
568170,diabetes,CALIFORNIA
881569,immune,MASSACHUSETTS
179631,immune,MASSACHUSETTS
460839,immune,MASSACHUSETTS
265500,immune,MASSACHUSETTS
1233374,aging,MASSACHUSETTS
711134,brain,MASSACHUSETTS
367275,breast,MASSACHUSETTS
518965,immune,MASSACHUSETTS
179436,diabetes,MASSACHUSETTS
534742,brain,MASSACHUSETTS
442500,immune,MASSACHUSETTS
573381,diabetes,MASSACHUSETTS
171990,tumor,MASSACHUSETTS
212769,brain,MASSACHUSETTS
404888,breast,MASSACHUSETTS
353836,brain,MASSACHUSETTS
179631,immune,MASSACHUSETTS
442500,hiv,MASSACHUSETTS
442323,hiv,MASSACHUSETTS
35896,tumor,MASSACHUSETTS
198336,immune,MASSACHUSETTS
183276,brain,MASSACHUSETTS
768180,hiv,MASSACHUSETTS
442500,hiv,MASSACHUSETTS
183061,aging,MASSACHUSETTS
2975446,lung,MASSACHUSETTS
151944,immune,MASSACHUSETTS
150444,immune,MASSACHUSETTS
446810,alcohol,MASSACHUSETTS
129330,aging,MASSACHUSETTS
210188,alcohol,MASSACHUSETTS
481615,brain,MASSACHUSETTS
265500,brain,MASSACHUSETTS
398250,brain,MASSACHUSETTS
522e3,brain,MASSACHUSETTS
384975,aging,MASSACHUSETTS
858313,hiv,MASSACHUSETTS
134450,hiv,MASSACHUSETTS
711564,lung,MASSACHUSETTS
88500,brain,MASSACHUSETTS
131693,aging,MASSACHUSETTS
713532,brain,MASSACHUSETTS
442500,lung,MASSACHUSETTS
58002,hiv,MASSACHUSETTS
269748,hiv,MASSACHUSETTS
822004,hiv,MASSACHUSETTS
695514,stress,MASSACHUSETTS
239246,tumor,CALIFORNIA
182109,tumor,CALIFORNIA
590225,brain,CALIFORNIA
659832,brain,CALIFORNIA
133596,aging,CALIFORNIA
132088,brain,CALIFORNIA
133596,breast,CALIFORNIA
131250,brain,CALIFORNIA
424243,diabetes,Others
401369,stress,Others
710699,diabetes,Others
262500,hiv,Others
393750,hiv,Others
311943,lung,Others
284375,hiv,Others
428918,aging,Others
798813,brain,Others
264708,aging,Others
368513,brain,Others
66510,brain,Others
2e4,tumor,NEW YORK
469933,aging,OHIO
582008,diabetes,OHIO
237095,alcohol,OHIO
457872,immune,OHIO
529965,tumor,OHIO
129735,hiv,OHIO
772200,hiv,OHIO
242816,lung,OHIO
639744,lung,OHIO
140586,immune,OHIO
303926,lung,OHIO
282783,lung,OHIO
382500,lung,OHIO
331224,lung,OHIO
60618,brain,OHIO
39e4,lung,OHIO
191362,diabetes,OHIO
83475,lung,OHIO
442642,aging,OHIO
781963,lung,OHIO
377139,stress,OHIO
309792,brain,OHIO
387370,hiv,OHIO
78e3,tumor,OHIO
39e4,aging,OHIO
356850,breast,OHIO
332775,alcohol,OHIO
568423,brain,OHIO
484444,stress,OHIO
625e3,lung,OHIO
593219,aging,OHIO
647189,aging,OHIO
341250,tumor,OHIO
39e4,tumor,OHIO
15e3,lung,OHIO
517558,brain,OHIO
334688,brain,OHIO
411710,aging,OHIO
760483,lung,OHIO
195e3,immune,OHIO
388285,brain,NEW YORK
255459,hiv,NEW YORK
37478,breast,Others
144703,aging,Others
306311,aging,Others
